Year,Time series,Tourism Industries,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2016,Employees jobs (in full-time equivalent),Cultural activities,.,,,
2017,Employees jobs (in full-time equivalent),Cultural activities,.,,,
2018,Employees jobs (in full-time equivalent),Cultural activities,.,,,
2019,Employees jobs (in full-time equivalent),Cultural activities,.,,,
2020,Employees jobs (in full-time equivalent),Cultural activities,.,,,
2021,Employees jobs (in full-time equivalent),Cultural activities,,,,40488.0
2022,Employees jobs (in full-time equivalent),Cultural activities,,,,41359.0
2023,Employees jobs (in full-time equivalent),Cultural activities,,,,43002.0
2010,Employees jobs (in full-time equivalent),Sports and Recreational activities,.,,,
2011,Employees jobs (in full-time equivalent),Sports and Recreational activities,.,,,
2012,Employees jobs (in full-time equivalent),Sports and Recreational activities,.,,,
2013,Employees jobs (in full-time equivalent),Sports and Recreational activities,.,,,
2014,Employees jobs (in full-time equivalent),Sports and Recreational activities,.,,,
2015,Employees jobs (in full-time equivalent),Sports and Recreational activities,.,,,
2016,Employees jobs (in full-time equivalent),Sports and Recreational activities,.,,,
2017,Employees jobs (in full-time equivalent),Sports and Recreational activities,.,,,
2018,Employees jobs (in full-time equivalent),Sports and Recreational activities,.,,,
2019,Employees jobs (in full-time equivalent),Sports and Recreational activities,.,,,
2020,Employees jobs (in full-time equivalent),Sports and Recreational activities,.,,,
2021,Employees jobs (in full-time equivalent),Sports and Recreational activities,,,,218932.0
2022,Employees jobs (in full-time equivalent),Sports and Recreational activities,,,,193459.0
2023,Employees jobs (in full-time equivalent),Sports and Recreational activities,,,,182289.0
