Year,timeseries,tourism industries,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2013,employees jobs (in full-time equivalent),sports and recreational activities,…,,,
2014,employees jobs (in full-time equivalent),sports and recreational activities,…,,,
2015,employees jobs (in full-time equivalent),sports and recreational activities,…,,,
2016,employees jobs (in full-time equivalent),sports and recreational activities,…,,,
2017,employees jobs (in full-time equivalent),sports and recreational activities,…,,,
2018,employees jobs (in full-time equivalent),sports and recreational activities,…,,,
2019,employees jobs (in full-time equivalent),sports and recreational activities,…,,,
2020,employees jobs (in full-time equivalent),sports and recreational activities,…,,,
2021,employees jobs (in full-time equivalent),sports and recreational activities,,,,218932
2022,employees jobs (in full-time equivalent),sports and recreational activities,,,,193459
2023,employees jobs (in full-time equivalent),sports and recreational activities,,,,182289
